Provincia,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
CORDOBA,True,True,False,True,True,True,True,True,False
CORDOBA,False,False,False,False,False,False,False,True,False
CORDOBA,False,True,False,True,True,True,True,False,True
CORDOBA,False,False,False,True,True,True,True,False,True
CORDOBA,True,True,False,True,True,True,True,True,True
CORDOBA,False,False,False,False,True,True,True,False,False
CORDOBA,True,False,False,True,True,True,True,False,False
CORDOBA,False,False,False,False,False,False,False,False,False
CORDOBA,False,False,False,False,False,False,False,True,False
CORDOBA,False,False,False,False,False,False,False,False,False
CORDOBA,False,False,False,False,False,False,False,True,False
ENTRE RIOS,True,False,False,True,True,True,True,True,False
ENTRE RIOS,False,False,False,True,True,False,True,True,False
ENTRE RIOS,True,True,True,True,True,True,True,True,False
ENTRE RIOS,False,False,False,False,False,False,False,True,False
ENTRE RIOS,True,False,False,False,True,False,True,True,False
ENTRE RIOS,False,False,False,True,True,False,True,True,False
ENTRE RIOS,False,False,False,False,False,False,True,True,False
ENTRE RIOS,False,False,False,False,True,True,True,True,False
ENTRE RIOS,False,False,False,False,False,False,True,True,False
ENTRE RIOS,False,False,False,True,True,False,True,True,False
ENTRE RIOS,True,False,False,True,True,True,True,True,True
ENTRE RIOS,False,False,False,True,True,True,True,True,False
ENTRE RIOS,False,False,False,False,True,True,True,True,False
ENTRE RIOS,False,False,False,False,False,False,False,False,False
MENDOZA,False,False,False,False,False,False,False,True,False
MENDOZA,False,False,False,False,False,False,False,True,False
MENDOZA,False,False,False,False,False,False,False,True,False
MENDOZA,False,False,False,False,False,False,False,True,False
MENDOZA,False,False,False,False,False,False,False,False,False
MENDOZA,False,False,False,True,True,True,False,True,False
MENDOZA,True,False,False,True,True,True,True,True,False
MENDOZA,False,False,False,False,True,True,False,False,False
MENDOZA,False,False,False,True,True,False,False,True,False
MENDOZA,True,False,False,False,True,True,True,True,False
MENDOZA,False,False,False,True,True,True,False,True,False
MENDOZA,False,False,False,True,True,True,False,True,False
MENDOZA,False,False,False,True,True,True,False,True,False
MENDOZA,False,False,False,False,False,False,False,False,False
MENDOZA,False,False,False,False,True,False,False,True,False
MENDOZA,False,False,False,False,False,False,True,True,False
MENDOZA,False,False,False,True,False,False,False,True,False
MENDOZA,True,False,True,True,True,True,True,True,True
MENDOZA,False,False,False,False,False,False,False,True,False
MENDOZA,False,False,False,False,False,False,False,False,False
MENDOZA,False,False,False,False,False,False,False,True,False
MENDOZA,False,False,False,False,True,True,False,True,False
MENDOZA,True,False,False,False,True,True,True,True,False
MENDOZA,True,False,False,False,True,True,True,True,True
MENDOZA,False,False,False,True,True,True,True,True,False
MENDOZA,False,True,False,False,True,True,False,True,False
