Año,Trimestre,Provincia,accesos_%home_prov,TrimestreAbs,Banda ancha fija,Dial up
2020,4,SANTA FE,73.58,28,821,137.0
2020,4,SANTIAGO DEL ESTERO,43.75,28,107,1.0
2020,4,TIERRA DEL FUEGO,76.27,28,39,289.0
2020,4,TUCUMÁN,54.78,28,231,22.0
2020,3,BUENOS AIRES,67.66,27,4,5.0
2020,3,CAPITAL FEDERAL,107.68,27,1,1.0
2020,3,CATAMARCA,47.16,27,50,1.0
2020,3,CHACO,41.54,27,134,3.0
2020,3,CHUBUT,68.34,27,129,825.0
2020,3,CÓRDOBA,75.22,27,867,55.0
2020,3,CORRIENTES,41.75,27,123,3.0
2020,3,ENTRE RÍOS,58.19,27,241,13.0
2020,3,FORMOSA,31.91,27,49,0.0
2020,3,JUJUY,54.04,27,107,0.0
2020,3,LA PAMPA,79.26,27,94,116.0
2020,3,LA RIOJA,50.12,27,53,3.0
2020,3,MENDOZA,37.35,27,207,615.0
2020,3,MISIONES,41.6,27,143,0.0
2020,3,NEUQUÉN,65.24,27,129,373.0
2020,3,RÍO NEGRO,57.05,27,131,501.0
2020,3,SALTA,52.32,27,181,2.0
2020,3,SAN JUAN,38.79,27,77,256.0
2020,3,SAN LUIS,79.96,27,116,148.0
2020,3,SANTA CRUZ,35.95,27,39,197.0
2020,3,SANTA FE,72.12,27,803,137.0
2020,3,SANTIAGO DEL ESTERO,43.38,27,105,1.0
2020,3,TIERRA DEL FUEGO,76.81,27,39,289.0
2020,3,TUCUMÁN,53.23,27,224,22.0
2020,2,BUENOS AIRES,65.22,26,4,5.0
2020,2,CAPITAL FEDERAL,106.41,26,1,1.0
2020,2,CATAMARCA,45.43,26,48,1.0
2020,2,CHACO,39.83,26,128,3.0
2020,2,CHUBUT,57.34,26,108,825.0
2020,2,CÓRDOBA,72.71,26,836,55.0
2020,2,CORRIENTES,40.3,26,119,3.0
2020,2,ENTRE RÍOS,56.54,26,234,13.0
2020,2,FORMOSA,31.14,26,48,0.0
2020,2,JUJUY,47.89,26,94,0.0
2020,2,LA PAMPA,76.1,26,90,116.0
2020,2,LA RIOJA,49.84,26,52,3.0
2020,2,MENDOZA,36.25,26,201,615.0
2020,2,MISIONES,40.89,26,140,0.0
2020,2,NEUQUÉN,63.9,26,126,373.0
2020,2,RÍO NEGRO,56.37,26,129,501.0
2020,2,SALTA,51.58,26,178,2.0
2020,2,SAN JUAN,35.09,26,70,256.0
2020,2,SAN LUIS,78.41,26,114,148.0
2020,2,SANTA CRUZ,35.79,26,39,197.0
2020,2,SANTA FE,70.0,26,778,137.0
2020,2,SANTIAGO DEL ESTERO,43.47,26,105,1.0
2020,2,TIERRA DEL FUEGO,76.37,26,39,289.0
2020,2,TUCUMÁN,51.78,26,217,22.0
2020,1,BUENOS AIRES,64.33,25,4,5.0
2020,1,CAPITAL FEDERAL,105.98,25,1,1.0
2020,1,CATAMARCA,37.62,25,40,1.0
2020,1,CHACO,37.48,25,120,3.0
2020,1,CHUBUT,51.27,25,96,800.0
2020,1,CÓRDOBA,70.69,25,811,55.0
2020,1,CORRIENTES,38.73,25,114,3.0
2020,1,ENTRE RÍOS,56.12,25,232,13.0
2020,1,FORMOSA,30.23,25,46,0.0
2020,1,JUJUY,46.67,25,92,0.0
2020,1,LA PAMPA,75.77,25,89,116.0
2020,1,LA RIOJA,46.35,25,48,3.0
2020,1,MENDOZA,33.14,25,183,615.0
2020,1,MISIONES,39.02,25,134,0.0
2020,1,NEUQUÉN,61.85,25,121,373.0
2020,1,RÍO NEGRO,55.12,25,126,501.0
2020,1,SALTA,49.6,25,170,2.0
2020,1,SAN JUAN,32.39,25,64,256.0
2020,1,SAN LUIS,76.31,25,110,148.0
2020,1,SANTA CRUZ,35.97,25,39,197.0
2020,1,SANTA FE,69.52,25,771,137.0
2020,1,SANTIAGO DEL ESTERO,42.47,25,103,1.0
2020,1,TIERRA DEL FUEGO,76.07,25,39,289.0
2020,1,TUCUMÁN,47.85,25,200,22.0
2019,4,BUENOS AIRES,64.25,24,4,5.0
2019,4,CAPITAL FEDERAL,106.25,24,1,1.0
2019,4,CATAMARCA,36.44,24,38,1.0
2019,4,CHACO,36.84,24,118,3.0
2019,4,CHUBUT,51.15,24,95,810.0
2019,4,CÓRDOBA,70.48,24,807,55.0
2019,4,CORRIENTES,38.77,24,114,3.0
2019,4,ENTRE RÍOS,57.99,24,239,13.0
2019,4,FORMOSA,30.47,24,47,0.0
2019,4,JUJUY,45.38,24,89,0.0
2019,4,LA PAMPA,76.92,24,90,119.0
2019,4,LA RIOJA,47.14,24,49,3.0
2019,4,MENDOZA,33.65,24,185,623.0
2019,4,MISIONES,39.79,24,136,0.0
2019,4,NEUQUÉN,59.36,24,116,376.0
2019,4,RÍO NEGRO,55.71,24,127,504.0
2019,4,SALTA,50.35,24,172,2.0
2019,4,SAN JUAN,32.85,24,65,259.0
2019,4,SAN LUIS,74.92,24,108,148.0
2019,4,SANTA CRUZ,36.71,24,39,200.0
2019,4,SANTA FE,69.48,24,769,150.0
2019,4,SANTIAGO DEL ESTERO,42.92,24,104,1.0
2019,4,TIERRA DEL FUEGO,79.7,24,40,291.0
2019,4,TUCUMÁN,47.65,24,199,23.0
2019,3,BUENOS AIRES,69.36,23,4,10.0
2019,3,CAPITAL FEDERAL,112.65,23,1,3.0
2019,3,CATAMARCA,30.88,23,32,9.0
2019,3,CHACO,35.85,23,114,13.0
2019,3,CHUBUT,47.57,23,87,2.0
2019,3,CÓRDOBA,68.59,23,783,107.0
2019,3,CORRIENTES,38.49,23,113,10.0
2019,3,ENTRE RÍOS,57.9,23,238,45.0
2019,3,FORMOSA,30.11,23,46,0.0
2019,3,JUJUY,44.32,23,87,1.0
2019,3,LA PAMPA,77.45,23,91,269.0
2019,3,LA RIOJA,47.94,23,50,18.0
2019,3,MENDOZA,40.74,23,223,1.0
2019,3,MISIONES,39.33,23,134,0.0
2019,3,NEUQUÉN,64.14,23,123,2.0
2019,3,RÍO NEGRO,63.42,23,143,904.0
2019,3,SALTA,44.48,23,152,1.0
2019,3,SAN JUAN,37.06,23,73,563.0
2019,3,SAN LUIS,85.23,23,122,291.0
2019,3,SANTA CRUZ,35.63,23,38,328.0
2019,3,SANTA FE,68.87,23,761,228.0
2019,3,SANTIAGO DEL ESTERO,55.3,23,133,2.0
2019,3,TIERRA DEL FUEGO,96.46,23,48,544.0
2019,3,TUCUMÁN,39.49,23,164,32.0
2019,2,BUENOS AIRES,67.85,22,4,10.0
2019,2,CAPITAL FEDERAL,110.55,22,1,3.0
2019,2,CATAMARCA,32.13,22,34,9.0
2019,2,CHACO,34.14,22,109,13.0
2019,2,CHUBUT,46.99,22,86,2.0
2019,2,CÓRDOBA,68.07,22,775,105.0
2019,2,CORRIENTES,38.16,22,112,10.0
2019,2,ENTRE RÍOS,57.48,22,236,44.0
2019,2,FORMOSA,30.42,22,46,0.0
2019,2,JUJUY,44.51,22,87,1.0
2019,2,LA PAMPA,77.08,22,90,268.0
2019,2,LA RIOJA,48.7,22,50,18.0
2019,2,MENDOZA,40.75,22,223,1.0
2019,2,MISIONES,39.15,22,133,0.0
2019,2,NEUQUÉN,63.08,22,121,2.0
2019,2,RÍO NEGRO,61.09,22,138,915.0
2019,2,SALTA,41.89,22,143,1.0
2019,2,SAN JUAN,35.6,22,69,564.0
2019,2,SAN LUIS,81.79,22,117,291.0
2019,2,SANTA CRUZ,28.85,22,30,325.0
2019,2,SANTA FE,67.42,22,743,226.0
2019,2,SANTIAGO DEL ESTERO,52.79,22,127,2.0
2019,2,TIERRA DEL FUEGO,94.8,22,47,544.0
2019,2,TUCUMÁN,40.14,22,166,32.0
2019,1,BUENOS AIRES,66.24,21,4,10.0
2019,1,CAPITAL FEDERAL,109.2,21,1,3.0
2019,1,CATAMARCA,32.19,21,34,9.0
2019,1,CHACO,32.64,21,104,13.0
2019,1,CHUBUT,43.0,21,78,2.0
2019,1,CÓRDOBA,65.52,21,744,105.0
2019,1,CORRIENTES,35.13,21,102,10.0
2019,1,ENTRE RÍOS,56.79,21,232,44.0
2019,1,FORMOSA,29.68,21,45,0.0
2019,1,JUJUY,46.41,21,90,1.0
2019,1,LA PAMPA,76.35,21,89,268.0
2019,1,LA RIOJA,50.18,21,52,18.0
2019,1,MENDOZA,37.66,21,205,1.0
2019,1,MISIONES,36.26,21,123,0.0
2019,1,NEUQUÉN,58.88,21,112,2.0
2019,1,RÍO NEGRO,53.57,21,120,915.0
2019,1,SALTA,40.1,21,136,1.0
2019,1,SAN JUAN,31.83,21,62,564.0
2019,1,SAN LUIS,67.34,21,96,291.0
2019,1,SANTA CRUZ,23.67,21,25,325.0
2019,1,SANTA FE,66.97,21,737,227.0
2019,1,SANTIAGO DEL ESTERO,37.52,21,90,2.0
2019,1,TIERRA DEL FUEGO,93.38,21,46,544.0
2019,1,TUCUMÁN,41.63,21,172,32.0
2018,4,BUENOS AIRES,64.6,20,4,10.0
2018,4,CAPITAL FEDERAL,108.27,20,1,3.0
2018,4,CATAMARCA,32.23,20,34,9.0
2018,4,CHACO,32.59,20,103,13.0
2018,4,CHUBUT,42.61,20,77,2.0
2018,4,CÓRDOBA,65.09,20,737,105.0
2018,4,CORRIENTES,34.57,20,101,10.0
2018,4,ENTRE RÍOS,54.37,20,222,44.0
2018,4,FORMOSA,29.74,20,45,0.0
2018,4,JUJUY,46.53,20,90,1.0
2018,4,LA PAMPA,73.49,20,85,268.0
2018,4,LA RIOJA,50.35,20,52,18.0
2018,4,MENDOZA,37.76,20,205,1.0
2018,4,MISIONES,34.45,20,116,0.0
2018,4,NEUQUÉN,59.07,20,112,2.0
2018,4,RÍO NEGRO,51.86,20,116,915.0
2018,4,SALTA,39.8,20,135,1.0
2018,4,SAN JUAN,31.9,20,62,564.0
2018,4,SAN LUIS,67.55,20,96,291.0
2018,4,SANTA CRUZ,23.69,20,24,325.0
2018,4,SANTA FE,65.59,20,720,229.0
2018,4,SANTIAGO DEL ESTERO,37.4,20,89,2.0
2018,4,TIERRA DEL FUEGO,93.59,20,46,544.0
2018,4,TUCUMÁN,41.76,20,172,32.0
2018,3,BUENOS AIRES,64.44,19,4,11.0
2018,3,CAPITAL FEDERAL,108.45,19,1,7.0
2018,3,CATAMARCA,32.92,19,34,11.0
2018,3,CHACO,32.28,19,102,12.0
2018,3,CHUBUT,56.39,19,101,2.0
2018,3,CÓRDOBA,64.24,19,726,94.0
2018,3,CORRIENTES,34.25,19,99,11.0
2018,3,ENTRE RÍOS,50.22,19,205,48.0
2018,3,FORMOSA,29.58,19,45,0.0
2018,3,JUJUY,23.26,19,45,1.0
2018,3,LA PAMPA,71.75,19,83,244.0
2018,3,LA RIOJA,50.73,19,52,17.0
2018,3,MENDOZA,37.99,19,206,1.0
2018,3,MISIONES,32.1,19,108,0.0
2018,3,NEUQUÉN,60.49,19,115,2.0
2018,3,RÍO NEGRO,50.54,19,112,1.0
2018,3,SALTA,39.43,19,133,1.0
2018,3,SAN JUAN,33.05,19,64,658.0
2018,3,SAN LUIS,52.35,19,74,300.0
2018,3,SANTA CRUZ,32.73,19,34,434.0
2018,3,SANTA FE,63.41,19,695,217.0
2018,3,SANTIAGO DEL ESTERO,36.25,19,86,2.0
2018,3,TIERRA DEL FUEGO,92.77,19,45,508.0
2018,3,TUCUMÁN,41.68,19,171,31.0
2018,2,BUENOS AIRES,62.78,18,3,11.0
2018,2,CAPITAL FEDERAL,106.53,18,1,7.0
2018,2,CATAMARCA,32.86,18,34,11.0
2018,2,CHACO,31.25,18,99,12.0
2018,2,CHUBUT,54.9,18,98,2.0
2018,2,CÓRDOBA,63.27,18,713,94.0
2018,2,CORRIENTES,33.81,18,98,11.0
2018,2,ENTRE RÍOS,49.2,18,200,48.0
2018,2,FORMOSA,29.43,18,45,
2018,2,JUJUY,23.43,18,45,1.0
2018,2,LA PAMPA,71.04,18,82,244.0
2018,2,LA RIOJA,50.98,18,52,17.0
2018,2,MENDOZA,36.97,18,199,1.0
2018,2,MISIONES,31.63,18,106,
2018,2,NEUQUÉN,60.24,18,114,2.0
2018,2,RÍO NEGRO,50.15,18,111,1.0
2018,2,SALTA,39.94,18,134,1.0
2018,2,SAN JUAN,32.95,18,63,658.0
2018,2,SAN LUIS,15.15,18,21,300.0
2018,2,SANTA CRUZ,33.33,18,34,435.0
2018,2,SANTA FE,62.57,18,684,309.0
2018,2,SANTIAGO DEL ESTERO,35.26,18,84,2.0
2018,2,TIERRA DEL FUEGO,91.61,18,44,508.0
2018,2,TUCUMÁN,41.51,18,170,31.0
2018,1,BUENOS AIRES,62.63,17,3,11.0
2018,1,CAPITAL FEDERAL,106.24,17,1,7.0
2018,1,CATAMARCA,32.79,17,34,11.0
2018,1,CHACO,30.83,17,97,12.0
2018,1,CHUBUT,53.72,17,96,2.0
2018,1,CÓRDOBA,63.52,17,714,101.0
2018,1,CORRIENTES,32.66,17,94,11.0
2018,1,ENTRE RÍOS,48.68,17,197,48.0
2018,1,FORMOSA,21.4,17,32,0.0
2018,1,JUJUY,23.12,17,44,1.0
2018,1,LA PAMPA,71.75,17,83,396.0
2018,1,LA RIOJA,51.44,17,52,17.0
2018,1,MENDOZA,37.07,17,199,1.0
2018,1,MISIONES,30.96,17,104,0.0
2018,1,NEUQUÉN,61.52,17,116,2.0
2018,1,RÍO NEGRO,49.82,17,110,1.0
2018,1,SALTA,39.78,17,133,1.0
2018,1,SAN JUAN,32.61,17,63,658.0
2018,1,SAN LUIS,15.15,17,21,300.0
2018,1,SANTA CRUZ,33.55,17,34,435.0
2018,1,SANTA FE,62.28,17,680,309.0
2018,1,SANTIAGO DEL ESTERO,34.99,17,83,2.0
2018,1,TIERRA DEL FUEGO,65.2,17,31,508.0
2018,1,TUCUMÁN,41.18,17,168,31.0
2017,4,BUENOS AIRES,57.61,16,3,11.0
2017,4,CAPITAL FEDERAL,122.9,16,2,7.0
2017,4,CATAMARCA,28.62,16,30,10.0
2017,4,CHACO,30.81,16,97,12.0
2017,4,CHUBUT,51.46,16,91,2.0
2017,4,CÓRDOBA,63.33,16,710,105.0
2017,4,CORRIENTES,32.52,16,94,11.0
2017,4,ENTRE RÍOS,47.89,16,194,49.0
2017,4,FORMOSA,21.27,16,32,0.0
2017,4,JUJUY,22.74,16,44,1.0
2017,4,LA PAMPA,71.05,16,82,396.0
2017,4,LA RIOJA,51.57,16,52,17.0
2017,4,MENDOZA,33.33,16,179,1.0
2017,4,MISIONES,31.14,16,104,0.0
2017,4,NEUQUÉN,61.24,16,115,2.0
2017,4,RÍO NEGRO,49.38,16,109,1.0
2017,4,SALTA,39.8,16,133,1.0
2017,4,SAN JUAN,30.3,16,58,659.0
2017,4,SAN LUIS,10.59,16,15,300.0
2017,4,SANTA CRUZ,28.91,16,29,434.0
2017,4,SANTA FE,61.71,16,672,323.0
2017,4,SANTIAGO DEL ESTERO,29.13,16,69,2.0
2017,4,TIERRA DEL FUEGO,59.89,16,28,508.0
2017,4,TUCUMÁN,39.9,16,162,34.0
2017,3,BUENOS AIRES,55.63,15,3,11.0
2017,3,CAPITAL FEDERAL,121.86,15,2,7.0
2017,3,CATAMARCA,32.49,15,33,11.0
2017,3,CHACO,29.98,15,94,12.0
2017,3,CHUBUT,46.22,15,81,2.0
2017,3,CÓRDOBA,62.31,15,697,108.0
2017,3,CORRIENTES,32.17,15,93,12.0
2017,3,ENTRE RÍOS,45.96,15,185,50.0
2017,3,FORMOSA,21.35,15,32,0.0
2017,3,JUJUY,22.65,15,43,1.0
2017,3,LA PAMPA,69.14,15,79,410.0
